learning_rate,beta_1,beta_2,epsilon,accuracy
0.0004,0.59,0.51,7e-07,0.9188033938407898
0.0002,0.59,0.72,8e-07,0.9508547186851501
0.0007,0.81,0.81,5e-07,0.9294871687889099
0.0008,0.66,0.67,2e-07,0.8995726704597473
0.0004,0.59,0.6,2e-07,0.9273504018783569
0.0008,0.92,0.89,7e-07,0.4594016969203949
0.0008,0.71,0.72,6e-07,0.9188033938407898
0.0004,0.86,0.5,5e-07,0.4594016969203949
0.0008,0.8,0.62,7e-07,0.9038461446762085
0.0008,0.62,0.93,2e-07,0.4594016969203949
0.0002,0.65,0.77,5e-07,0.9230769276618958
0.0007,0.98,0.71,4e-07,0.4871794879436493
0.0005,0.6,0.63,4e-07,0.9358974099159241
0.0006,0.55,0.62,2e-07,0.9123931527137756
0.0002,0.71,0.91,8e-07,0.9252136945724487
0.0007,0.66,0.81,3e-07,0.8974359035491943
0.0009,0.94,0.67,6e-07,0.4594016969203949
0.0008,0.91,0.57,1e-07,0.49358972907066345
0.0005,0.56,0.96,3e-07,0.9059829115867615
0.0005,0.59,0.65,5e-07,0.9188033938407898
0.0005,0.99,0.9,5e-07,0.692307710647583
0.0002,0.93,0.53,6e-07,0.557692289352417
0.0008,0.89,0.78,4e-07,0.9294871687889099
0.0009,0.52,0.77,3e-07,0.8803418874740601
0.0004,0.89,0.9,7e-07,0.9358974099159241
0.0007,0.62,0.85,3e-07,0.9102563858032227
0.0002,0.6,0.77,6e-07,0.9316239356994629
0.0002,0.66,0.84,8e-07,0.9166666865348816
0.0003,0.75,0.68,3e-07,0.94017094373703
0.0007,0.66,0.59,8e-07,0.8995726704597473
0.0005,0.8,0.54,5e-07,0.8846153616905212
0.0007,0.96,0.7,6e-07,0.4594016969203949
0.0003,0.92,0.65,5e-07,0.5427350401878357
0.0005,0.82,0.66,8e-07,0.8974359035491943
0.0006,0.77,0.81,5e-07,0.9358974099159241
0.0004,0.55,0.57,6e-07,0.94017094373703
0.0009,0.78,0.82,2e-07,0.9123931527137756
0.0006,0.74,0.62,6e-07,0.9059829115867615
0.0006,0.69,0.56,1e-07,0.9188033938407898
0.0009,0.71,0.7,4e-07,0.9294871687889099
0.0005,0.76,0.77,6e-07,0.9358974099159241
0.0005,0.81,0.67,7e-07,0.9294871687889099
0.0005,0.55,0.56,3e-07,0.8803418874740601
0.0008,0.81,0.8,2e-07,0.9166666865348816
0.0002,0.87,0.69,8e-07,0.9123931527137756
0.0004,0.73,0.92,3e-07,0.9273504018783569
0.0006,0.7,0.91,6e-07,0.7756410241127014
0.0005,0.79,0.55,1e-07,0.4594016969203949
0.0004,0.82,0.95,3e-07,0.9337607026100159
0.0001,0.88,0.65,8e-07,0.942307710647583
0.0003,0.73,0.78,2e-07,0.9188033938407898
0.0008,0.65,0.84,2e-07,0.9017093777656555
0.0005,0.51,0.99,4e-07,0.4594016969203949
0.0004,0.86,0.8,4e-07,0.9316239356994629
0.0006,0.98,0.68,7e-07,0.4594016969203949
0.0004,0.88,0.97,2e-07,0.9038461446762085
0.0005,0.51,0.94,7e-07,0.4594016969203949
0.0006,0.84,0.66,3e-07,0.9166666865348816
0.0004,0.62,0.78,4e-07,0.94017094373703
0.0001,0.8,0.8,1e-07,0.9572649598121643
0.0007,0.83,0.82,8e-07,0.9038461446762085
0.0008,0.5,0.9,2e-07,0.4594016969203949
0.0007,0.95,0.58,6e-07,0.4594016969203949
0.0003,0.72,0.58,5e-07,0.94017094373703
0.0005,0.83,0.53,8e-07,0.8782051205635071
0.0005,0.52,0.8,6e-07,0.9102563858032227
0.0008,0.66,0.62,3e-07,0.9209401607513428
0.0002,0.92,0.59,6e-07,0.8269230723381042
0.0003,0.97,0.58,2e-07,0.4594016969203949
0.0006,0.7,0.65,7e-07,0.9081196784973145
0.0001,0.83,0.98,2e-07,0.9444444179534912
0.0003,0.61,0.76,1e-07,0.938034176826477
0.0005,0.95,0.94,6e-07,0.9252136945724487
0.0004,0.53,0.58,4e-07,0.9273504018783569
0.0004,0.81,0.64,5e-07,0.4594016969203949
0.0002,0.67,0.56,3e-07,0.9102563858032227
0.0006,0.95,0.88,2e-07,0.8931623697280884
0.0001,0.79,0.65,5e-07,0.9487179517745972
0.0009,0.52,0.56,5e-07,0.4594016969203949
0.0007,0.79,0.88,5e-07,0.8910256624221802
0.0009,0.91,0.92,2e-07,0.8974359035491943
0.0005,0.71,0.71,4e-07,0.9252136945724487
0.0005,0.77,0.57,9e-07,0.9038461446762085
0.0006,0.9,0.56,8e-07,0.4594016969203949
0.0007,0.64,0.99,7e-07,0.4594016969203949
0.0007,0.72,0.75,3e-07,0.9465811848640442
0.0004,0.59,0.92,7e-07,0.9230769276618958
0.0001,0.91,0.64,3e-07,0.942307710647583
